id,android_id,time_stamp,x,y,z,notes,created_at,updated_at,csv
2293,41af43bb3f9077ea,1423098442928,0.26698303,-0.05757141,9.916672,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2294,41af43bb3f9077ea,1423098443442,0.29971313,-0.040908813,9.945236,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2295,41af43bb3f9077ea,1423098443955,0.29078674,-0.039123535,9.882156,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2296,41af43bb3f9077ea,1423098444470,0.29792786,-0.054595947,9.898819,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2297,41af43bb3f9077ea,1423098444986,0.2955475,-0.077804565,9.916077,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2298,41af43bb3f9077ea,1423098445499,0.2866211,-0.058166504,9.904175,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2299,41af43bb3f9077ea,1423098446015,0.3020935,-0.038528442,9.918457,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2300,41af43bb3f9077ea,1423098446529,0.3199463,-0.06173706,9.894653,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2301,41af43bb3f9077ea,1423098447043,0.30090332,-0.05102539,9.867279,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2302,41af43bb3f9077ea,1423098447554,0.30625916,-0.027816772,9.900604,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2303,41af43bb3f9077ea,1423098448073,0.2872162,-0.07244873,9.929169,,2015-02-24 04:01:55 UTC,2015-02-24 04:01:55 UTC,
2304,41af43bb3f9077ea,1423098448588,0.3026886,-0.04864502,9.936905,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2305,41af43bb3f9077ea,1423098449101,0.2854309,-0.021865845,9.911911,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2306,41af43bb3f9077ea,1423098449616,0.2610321,-0.062332153,9.902985,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2307,41af43bb3f9077ea,1423098450131,0.28840637,-0.058166504,9.917862,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2308,41af43bb3f9077ea,1423098450647,0.3014984,-0.055786133,9.897034,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2309,41af43bb3f9077ea,1423098451161,0.2931671,-0.054595947,9.876205,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2310,41af43bb3f9077ea,1423098451675,0.30625916,-0.0664978,9.907745,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2311,41af43bb3f9077ea,1423098452193,0.29078674,-0.049240112,9.908936,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2312,41af43bb3f9077ea,1423098452704,0.29257202,-0.059951782,9.889893,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2313,41af43bb3f9077ea,1423098453219,0.28840637,-0.058166504,9.887512,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2314,41af43bb3f9077ea,1423098453736,0.3098297,-0.036743164,9.9214325,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2315,41af43bb3f9077ea,1423098454248,0.311615,-0.064712524,9.929764,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2316,41af43bb3f9077ea,1423098454763,0.29019165,-0.04685974,9.888107,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2317,41af43bb3f9077ea,1423098455277,0.2872162,-0.049835205,9.876801,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2318,41af43bb3f9077ea,1423098455791,0.2866211,-0.045074463,9.933929,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
2319,41af43bb3f9077ea,1423098456306,0.2937622,-0.056381226,9.864899,,2015-02-24 04:01:56 UTC,2015-02-24 04:01:56 UTC,
